,lat,lon,activity
196,-43.590273689478636,172.56534442305565,activity_21767060640.gpx
197,-43.5902738571167,172.56537317298353,activity_21767060640.gpx
198,-43.59028215520084,172.56540711969137,activity_21767060640.gpx
199,-43.59028399921954,172.56543721072376,activity_21767060640.gpx
200,-43.590282490476966,172.56546654738486,activity_21767060640.gpx
201,-43.59028969891369,172.56550778634846,activity_21767060640.gpx
202,-43.59029053710401,172.56554181687534,activity_21767060640.gpx
203,-43.590285927057266,172.5655697286129,activity_21767060640.gpx
204,-43.59029045328498,172.56560577079654,activity_21767060640.gpx
205,-43.59029280021787,172.5656403042376,activity_21767060640.gpx
206,-43.59028651379049,172.56566343829036,activity_21767060640.gpx
207,-43.590288860723376,172.5656992290169,activity_21767060640.gpx
208,-43.59029280021787,172.56573267281055,activity_21767060640.gpx
209,-43.5902894474566,172.56575983017683,activity_21767060640.gpx
210,-43.59028911218047,172.56579495035112,activity_21767060640.gpx
211,-43.59029145911336,172.56582998670638,activity_21767060640.gpx
212,-43.5902876034379,172.5658575631678,activity_21767060640.gpx
213,-43.590287351980805,172.5658889953047,activity_21767060640.gpx
214,-43.590291794389486,172.56592554040253,activity_21767060640.gpx
215,-43.59028810635209,172.5659502670169,activity_21767060640.gpx
216,-43.590288273990154,172.56598211824894,activity_21767060640.gpx
217,-43.59029556624591,172.56602151319385,activity_21767060640.gpx
218,-43.590297158807516,172.56605059839785,activity_21767060640.gpx
219,-43.59029531478882,172.56608236581087,activity_21767060640.gpx
220,-43.59030352905393,172.56611874327064,activity_21767060640.gpx
221,-43.590303948149085,172.56614908576012,activity_21767060640.gpx
222,-43.590300595387816,172.5661789253354,activity_21767060640.gpx
223,-43.590302942320704,172.56621806882322,activity_21767060640.gpx
224,-43.5903084743768,172.5662515964359,activity_21767060640.gpx
225,-43.59030805528164,172.56627967581153,activity_21767060640.gpx
226,-43.590316688641906,172.5663152989,activity_21767060640.gpx
227,-43.59032071195543,172.56634161807597,activity_21767060640.gpx
228,-43.59032113105059,172.56636844016612,activity_21767060640.gpx
229,-43.590325908735394,172.56640733219683,activity_21767060640.gpx
230,-43.59033144079149,172.56643750704825,activity_21767060640.gpx
231,-43.59032431617379,172.56646265275776,activity_21767060640.gpx
232,-43.59033169224858,172.5665034726262,activity_21767060640.gpx
