Activity Type,Date,Title,activity,Island,Location,Distance (km),Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent (m),Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Rating,Links,Comments
Hiking,28/10/2025 13:27,Milford Sound Walking,Key Summit Track,South Island,Fiordland National Park,8.38,865,2:53:27,130,182,3.6,74,245,20:42,6:33,453,451,0.66,--,--,--,--,--,0,--,--,--,--,--,"14,694",--,--,--,20,No,05:35.7,9,27,2:18:56,2:53:27,523,957,8-Oct,https://www.alltrails.com/trail/new-zealand/otago/key-summit-and-view-of-lake-marian-via-routeburn-track,
Hiking,28/10/2025 16:38,Milford Sound Walking,Lake Marian Track,South Island,Fiordland National Park,6.94,"1,067",3:33:32,142,184,4.8,34,160,30:45:00,9:01,462,452,1.11,--,--,--,--,--,0,--,--,--,--,--,"12,600",--,--,--,22,No,0:19:48,7,27,1:08:28,3:33:32,315,719,9.5/10,https://www.alltrails.com/trail/new-zealand/otago/lake-marian-track,
Hiking,29/10/2025 16:39,Te Anau Walking,Kepler Track Carpark to Luxmore Hut,South Island,Fiordland National Park,5,294,1:08:03,108,132,1.8,98,160,13:36,9:27,62,60,0.75,--,--,--,--,--,0,--,--,--,--,--,"6,864",--,--,-3,24,No,00:03.3,6,27,1:05:37,1:08:04,204,218,5-Oct,https://www.alltrails.com/trail/new-zealand/southland/kepler-track-kepler-track-carpark-to-luxmore-hut,
Hiking,30/10/2025 13:09,Moke Lake Track,Moke Lake Track,South Island,Queenstown,13.07,830,2:25:42,139,181,3.3,100,240,11:08,1:22,291,271,0.97,--,--,--,--,--,0,--,--,--,--,--,"15,180",--,--,-21,22,No,00:06.2,14,33,2:13:15,2:25:42,536,623,6.5/10,https://www.alltrails.com/trail/new-zealand/otago/moke-lake-loop-track,
Hiking,4/11/2025 8:59,Glenorchy Walking,Routeburn Track to Harris Saddle ,South Island,Fiordland National Park,23.54,"1,897",7:10:54,133,180,3.5,76,244,18:19,8:45,939,930,0.77,--,--,--,--,--,0,--,--,--,--,--,"35,992",--,--,-36,17,No,08:32.1,24,30,5:39:29,7:10:54,466,"1,157",9.5/10,https://www.alltrails.com/trail/new-zealand/otago/routeburn-track-to-lake-harris-and-harris-saddle-shelter,
Hiking,5/11/2025 13:35,Cattle Flat Walking,Rob Roy Glacier Track,South Island,Mount Aspiring National Park,11.54,924,3:56:26,123,170,2.8,72,187,20:30,9:07,616,608,0.69,--,--,--,--,--,0,--,--,--,--,--,"20,898",--,--,-14,23,No,08:25.2,12,32,2:50:37,4:19:44,361,768,9-Oct,https://www.alltrails.com/trail/new-zealand/otago/rob-roy-glacier-track,
Running,10/11/2025 16:39,Queenstown - Base,Queenstown Gardens Loop,South Island,,4.93,294,0:34:08,170,189,4.6,156,182,6:55,5:30,48,43,0.93,9.9,9.2,294,6:47,250,0,244,423,--,--,--,"5,310",--,--,-10,22,No,00:08.0,6,28,0:34:06,0:34:08,313,330,,,
Hiking,13/11/2025 10:41,Queenstown Walking,Ben Lomond Track via Tiki Trail,South Island,Queenstown,17.37,"1,985",6:13:51,150,193,5,68,240,21:32,4:54,"1,537","1,485",0.68,--,--,--,--,--,0,--,--,--,--,--,"29,024",--,--,-62,19,No,08:00.5,18,29,4:05:13,6:13:52,332,"1,749",8-Oct,https://www.alltrails.com/trail/new-zealand/otago/ben-lomond-track-via-tiki-trail,
Hiking,17/11/2025 19:36,Hawea Walking,Sawyer Burn Track,South Island,Wanaka,5.51,678,2:44:32,126,168,3.7,60,160,29:52:00,10:31,583,596,0.6,--,--,--,--,--,0,--,--,--,--,--,"12,656",--,--,-7,22,No,0:20:24,6,29,1:32:00,2:44:32,351,942,6-Oct,https://www.alltrails.com/trail/new-zealand/otago/sawyer-burn-track,
Hiking,19/11/2025 3:11,Wanaka Walking,Roys Peak,South Island,Wanaka,15.81,"1,600",5:55:59,134,184,4.3,55,231,22:31,6:30,"1,279","1,256",1.05,--,--,--,--,--,0,--,--,--,--,--,"22,140",--,--,-22,13,No,0:14:16,16,29,4:07:13,6:08:14,336,"1,579",7-Oct,https://www.alltrails.com/trail/new-zealand/otago/roys-peak-track,
Hiking,20/11/2025 12:50,Fox Glacier Walking,Lake Matheson Jetty Lookout Walk,South Island,Fox Glacier,2.24,133,0:31:24,106,126,1,93,127,14:00,10:05,56,38,0.77,--,--,--,--,--,0,--,--,--,--,--,"3,024",--,--,-3,26,No,02:51.4,3,33,0:28:13,0:31:24,77,116,5-Oct,https://www.alltrails.com/trail/new-zealand/west-coast/lake-matheson-jetty-lookout-walk,
Hiking,21/11/2025 15:01,Kokatahi Walking,Hokitika Gorge ,South Island,Hokitika ,2.16,127,0:33:50,98,119,0.8,85,169,15:39,7:23,64,57,0.75,--,--,--,--,--,0,--,--,--,--,--,"3,032",--,--,-3,25,No,02:05.9,3,30,0:29:05,0:33:50,73,110,6.5/10,https://www.alltrails.com/trail/new-zealand/west-coast/hokitika-gorge-walk,
Hiking,21/11/2025 18:01,Arthur's Pass Walking,Devils Punchbowl Walking Track,South Island,Arthur's Pass,2.06,170,0:43:59,107,156,1.8,61,245,21:22,5:55,126,125,0.77,--,--,--,--,--,0,--,--,--,--,--,"3,348",--,--,-4,23,No,00:46.4,3,25,0:29:00,0:43:59,754,838,8-Oct,https://www.alltrails.com/trail/new-zealand/canterbury/devils-punchbowl-walking-track,
Running,21/11/2025 20:19,Craigieburn Running,Castle Hill,South Island,,3.04,351,1:03:34,140,179,3.1,52,207,20:55,1:32,128,127,0.86,8.8,6.3,305,20:18,157,0,58,407,--,--,--,"4,448",--,--,-9,25,No,00:03.0,4,30,0:36:33,1:04:50,749,792,,,
Hiking,22/11/2025 9:50,Windwhistle Walking,Washpen Falls Track,South Island,Methven,2.99,264,1:08:50,111,151,2,62,250,23:01,6:41,187,185,0.7,--,--,--,--,--,0,--,--,--,--,--,"5,508",--,--,-9,21,No,0:19:49,3,28,0:46:28,1:08:50,445,602,6.5/10,https://www.alltrails.com/trail/new-zealand/canterbury/washpen-falls-track,
Hiking,22/11/2025 11:28,Windwhistle Walking,Rakaia Gorge Walkway,South Island,Rakaia,1.57,117,0:33:30,101,139,0.7,71,160,21:19,5:54,73,71,0.66,--,--,--,--,--,0,--,--,--,--,--,"2,842",--,--,-4,25,No,0:10:44,2,28,0:25:37,0:33:30,277,307,4.5/10,https://www.alltrails.com/trail/new-zealand/canterbury/rakaia-gorge-walkway,
Hiking,23/11/2025 12:24,Methven Walking,Methven Loop track,South Island,Methven,11,614,2:10:37,104,121,2.6,103,159,11:52,8:48,119,108,0.82,--,--,--,--,--,0,--,--,--,--,--,"13,766",--,--,-21,24,No,00:02.8,12,32,2:04:27,2:10:37,317,352,5.5/10,https://www.alltrails.com/trail/new-zealand/canterbury/methven-loop-track,
Hiking,25/11/2025 17:42,Christchurch Walking,Barnett Park Cave Loop,South Island,Christchurch,6.32,483,2:04:30,106,169,3,66,241,19:42,7:19,327,328,0.77,--,--,--,--,--,0,--,--,--,--,--,"9,814",--,--,-10,20,No,04:28.7,7,28,1:27:36,2:04:30,3,187,6.5/10,https://www.alltrails.com/trail/new-zealand/canterbury/barnett-park-cave-loop,
Hiking,26/11/2025 16:49,Christchurch Walking,Godley Head Walkway and Taylors Mistake Loop,South Island,Christchurch,9.74,632,2:09:57,123,166,3.3,91,179,13:21,7:42,387,386,0.82,--,--,--,--,--,0,--,--,--,--,--,"12,596",--,--,-11,30,No,09:25.4,10,34,1:54:33,2:09:57,--,155,7.5/10,https://www.alltrails.com/trail/new-zealand/canterbury/godley-head-walkway-and-taylors-mistake-loop,
Hiking,3/12/2025 17:01,Tekapo Walking,Mount John Walkway,South Island,Lake Tekapo,9.01,625,3:12:45,92,153,1.7,68,188,21:24,10:02,412,404,0.68,--,--,--,--,--,0,--,--,--,--,--,"13,762",--,--,-13,18,No,00:05.8,10,28,2:23:55,3:12:45,706,"1,018",8-Oct,https://www.alltrails.com/trail/new-zealand/canterbury/mount-john-walkway,
Hiking,4/12/2025 11:55,Mount Cook Walking,Hooker Valley Track,South Island,Mount Cook,4.31,282,1:21:21,95,126,1,68,182,18:54,10:27,121,93,0.78,--,--,--,--,--,0,--,--,--,--,--,"6,150",--,--,-8,28,No,04:03.1,5,33,1:00:04,1:21:23,741,811,8-Oct,https://www.alltrails.com/trail/new-zealand/canterbury/hooker-lake-via-hooker-valley-track,
Hiking,4/12/2025 13:48,Mount Cook Walking,Tasman Glacier View Track,South Island,Mount Cook,1.52,154,0:40:55,110,160,1.9,45,158,26:53:00,9:33,108,110,0.83,--,--,--,--,--,0,--,--,--,--,--,"2,424",--,--,-5,29,No,0:11:52,2,36,0:23:15,0:40:55,722,826,6.5/10,https://www.alltrails.com/trail/new-zealand/canterbury/tasman-glacier-view-track,
Hiking,9/12/2025 15:37,Makarora Walking,Blue Pools Track,South Island,Wanaka,3.47,214,0:55:57,101,131,1.7,82,158,16:09,8:48,90,73,0.76,--,--,--,--,--,0,--,--,--,--,--,"4,806",--,--,-5,27,No,08:17.2,4,33,0:45:43,0:55:57,320,361,5-Oct,https://www.alltrails.com/trail/new-zealand/west-coast/blue-pools-track,
Hiking,12/12/2025 18:17,Nelson Walking,Botanical Hill Loop,South Island,Nelson,2.02,163,0:38:44,110,135,2,78,222,19:11,4:33,132,126,0.66,--,--,--,--,--,0,--,--,--,--,--,"3,348",--,--,-3,23,No,00:02.8,3,28,0:28:54,0:47:15,14,147,6-Oct,https://www.alltrails.com/trail/new-zealand/nelson-tasman/botanical-hill-loop,
Hiking,14/12/2025 10:18,Kaikoura Walking,Kaikoura Peninsula Walkway,South Island,Kaikoura,4.64,314,1:39:43,93,123,1.4,58,197,21:30,5:49,132,107,0.82,--,--,--,--,--,0,--,--,--,--,--,"6,508",--,--,-6,25,No,0:14:39,5,32,1:02:07,1:44:46,-5,100,6.5/10,https://www.alltrails.com/trail/new-zealand/canterbury/kaikoura-peninsula-walkway,
